,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,-,-
1,,"Alemanha, República Democrática",1.021.075,2.064.845
2,,Angola,350,2.492
3,,Antígua e Barbuda,-,-
4,,Arabia Saudita,-,-
5,,Argélia,-,-
6,,Argentina,170.851,298.692
7,,Áustria,-,-
8,,Bahamas,-,-
9,,Bahrein,-,-
10,,Bangladesh,-,-
11,,Barbados,-,-
12,,Barein,-,-
13,,Bélgica,-,-
14,,Belize,-,-
15,,Bermudas,-,-
16,,Bolívia,17,96
17,,Bósnia,-,-
18,,Brasil,-,-
19,,Bulgária,-,-
20,,Burquina Faso,-,-
21,,Cabo Verde,-,-
22,,Camarões,-,-
23,,Camores,-,-
24,,Canadá,751.591,2.143.723
25,,Catar,-,-
26,,"Cayman, Ilhas",-,-
27,,Chile,-,-
28,,China,-,-
29,,Chipre,-,-
30,,Cingapura,-,-
31,,"Cocos (Keeling), Ilhas",-,-
32,,"Cook, Ilhas",-,-
33,,Colômbia,-,-
34,,Congo,-,-
35,,Coreia do Norte,-,-
36,,Coreia do Sul,-,-
37,,Costa do Marfim,-,-
38,,Coveite,-,-
39,,Croácia,-,-
40,,Curaçao,-,-
41,,Dinamarca,12.480,40.211
42,,Djibuti,-,-
43,,Egito,-,-
44,,Emirados Árabes Unidos,65.280,133.946
45,,Eslovênia,-,-
46,,Espanha,-,-
47,,Estados Unidos,8.825.628,19.162.062
48,,Falkland (Ilhas Malvinas),-,-
49,,"Faroé, Ilhas",-,-
50,,Filipinas,-,-
51,,Finlândia,109.278,445.626
52,,França,-,-
53,,Gabão,-,-
54,,Gana,-,-
55,,Georgia,-,-
56,,Gibraltar,-,-
57,,Grécia,-,-
58,,Guadalupe,-,-
59,,Guiana,-,-
60,,Guiana Francesa,-,-
61,,Guiné-Bissau,-,-
62,,Guine Equatorial,80,598
63,,Honduras,-,-
64,,Hong Kong,-,-
65,,Ilha de Man,-,-
66,,Ilhas Virgens,-,-
67,,Índia,-,-
68,,Indonésia,-,-
69,,Irã,-,-
70,,Iraque,-,-
71,,Irlanda,61.300,56.563
72,,Islândia,-,-
73,,Itália,118.705,383.214
74,,Japão,-,-
75,,Jérsei,-,-
76,,Jordânia,-,-
77,,Letônia,-,-
78,,Líbano,-,-
79,,Libéria,-,-
80,,Líbia,-,-
81,,Lituânia,111.944,302.874
82,,Luxemburgo,4.320,15.993
83,,Macedônia,-,-
84,,Malásia,-,-
85,,Malta,-,-
86,,"Marianas do Norte, Ilhas",-,-
87,,Marrocos,-,-
88,,"Marshall, Ilhas",-,-
89,,Martinica,-,-
90,,Mauricio,-,-
91,,Mauritânia,-,-
92,,Mexico,-,-
93,,Mônaco,-,-
94,,Mongólia,-,-
95,,Montenegro,-,-
96,,Nigéria,-,-
97,,Noruega,1.273.703,3.748.091
98,,Omã,-,-
99,,Países Baixos,26.638.825,61.694.552
100,,Palau,-,-
101,,Panamá,-,-
102,,Paquistão,-,-
103,,Paraguai,2.005,4.205
104,,Pitcairn,-,-
105,,Polônia,-,-
106,,Porto Rico,-,-
107,,Portugal,-,-
108,,Quirguistão,-,-
109,,Reino Unido,12.426.198,30.179.689
110,,Republica Dominicana,-,-
111,,Romênia,-,-
112,,"Rússia,  Federação da",45.320,104.620
113,,Samoa Americana,-,-
114,,São Cristóvão e Névis,-,-
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,-,-
117,,Serra Leoa,-,-
118,,Senegal,-,-
119,,Singapura,-,-
120,,Sri Lanka,-,-
121,,Suazilândia,-,-
122,,Suécia,364.265,1.076.257
123,,Suíça,-,-
124,,Suriname,-,-
125,,Tailândia,-,-
126,,Taiwan,-,-
127,,Tanzânia,-,-
128,,Togo,-,-
129,,Trindade e Tobago,-,-
130,,Tunísia,-,-
131,,"Turcas e Caicos, ilhas",-,-
132,,Turquia,-,-
133,,Tuvalu,-,-
134,,Uruguai,14.864,39.923
135,,Vanuatu,-,-
136,,Venezuela,-,-
137,,Vietnã,-,-
138,,"Wallis e Futuna, Ilhas",-,-
139,,Provisão de Navios e Aeronaves,-,-
